age,gender,height,weight,goal,focus,limitations,intensity,duration,plan_template_id
23,Male,194.2,61.4,keep_fit,full,none,high,30,keep_fit_endurance
18,Male,185.1,65.6,lose_weight,abs,none,low,20,fat_loss_low_impact
32,Female,161.5,73.0,lose_weight,chest,none,high,15,fat_loss_general
55,Female,169.4,112.3,keep_fit,abs,none,normal,10,keep_fit_balanced
30,Male,189.2,137.6,gain_mass,abs,none,high,45,muscle_gym_progressive
56,Male,165.5,91.1,gain_mass,arms,none,low,15,muscle_low_impact
60,Female,176.5,52.6,keep_fit,legs,joints,low,60,keep_fit_low_impact
55,Male,186.0,130.3,gain_mass,arms,none,low,30,muscle_low_impact
24,Female,172.4,101.8,gain_mass,legs,none,high,30,muscle_gym_progressive
34,Male,184.1,80.1,gain_mass,abs,none,high,60,muscle_gym_progressive
74,Female,167.8,79.1,keep_fit,full,none,low,10,keep_fit_low_impact
30,Female,178.9,79.6,keep_fit,chest,joints,high,20,keep_fit_low_impact
26,Male,196.6,62.4,keep_fit,abs,none,normal,10,keep_fit_balanced
80,Male,194.8,52.0,lose_weight,abs,none,low,10,fat_loss_low_impact
42,Male,192.9,100.8,keep_fit,full,joints,high,45,keep_fit_low_impact
39,Female,184.5,78.3,lose_weight,full,joints,normal,45,fat_loss_low_impact
52,Male,200.0,54.3,gain_mass,chest,none,high,10,muscle_gym_progressive
22,Female,168.3,113.5,keep_fit,abs,none,high,10,keep_fit_endurance
64,Female,167.2,90.1,gain_mass,legs,none,low,10,muscle_low_impact
76,Female,162.5,109.0,gain_mass,legs,none,low,45,muscle_low_impact
65,Male,196.9,84.4,lose_weight,abs,joints,normal,10,fat_loss_low_impact
80,Male,180.3,133.7,lose_weight,abs,joints,high,30,fat_loss_low_impact
45,Male,170.5,118.7,lose_weight,arms,joints,high,60,fat_loss_low_impact
26,Male,161.6,78.3,keep_fit,chest,none,normal,30,keep_fit_balanced
72,Male,168.1,129.7,gain_mass,abs,joints,high,30,muscle_low_impact
56,Male,178.6,89.0,lose_weight,chest,joints,normal,30,fat_loss_low_impact
64,Male,178.8,90.4,gain_mass,arms,none,low,15,muscle_low_impact
59,Female,171.8,68.4,gain_mass,legs,none,low,60,muscle_low_impact
37,Female,156.5,113.5,lose_weight,legs,joints,low,30,fat_loss_low_impact
48,Female,179.9,75.4,lose_weight,full,none,low,30,fat_loss_low_impact
22,Male,197.0,81.6,lose_weight,full,joints,low,15,fat_loss_low_impact
31,Female,154.6,74.8,gain_mass,legs,none,low,10,muscle_low_impact
38,Female,184.3,74.2,lose_weight,full,none,low,30,fat_loss_low_impact
40,Male,178.8,117.0,lose_weight,arms,joints,normal,60,fat_loss_low_impact
43,Male,160.4,64.4,gain_mass,abs,none,normal,60,muscle_home_basic
69,Female,177.0,64.2,keep_fit,abs,joints,high,20,keep_fit_low_impact
66,Female,155.1,51.6,lose_weight,arms,none,normal,15,fat_loss_general
36,Female,162.7,70.6,lose_weight,chest,joints,low,60,fat_loss_low_impact
46,Male,180.6,119.8,gain_mass,chest,none,low,30,muscle_low_impact
15,Male,190.2,100.4,gain_mass,chest,joints,high,30,kids_active_play_safe
44,Female,150.0,70.9,gain_mass,chest,none,low,15,muscle_low_impact
50,Female,156.5,74.0,lose_weight,abs,none,normal,15,fat_loss_general
67,Female,181.1,119.2,lose_weight,full,none,normal,45,fat_loss_general
61,Female,156.2,113.7,gain_mass,chest,none,low,15,muscle_low_impact
45,Female,159.1,106.8,gain_mass,legs,none,normal,60,muscle_home_basic
64,Female,175.3,65.8,lose_weight,full,none,normal,30,fat_loss_general
51,Male,190.5,64.6,lose_weight,legs,joints,high,30,fat_loss_low_impact
29,Female,169.1,111.9,lose_weight,chest,none,normal,20,fat_loss_general
57,Female,167.5,66.8,gain_mass,legs,none,normal,60,muscle_home_basic
32,Male,199.4,105.1,keep_fit,arms,none,high,15,keep_fit_endurance
71,Female,173.5,89.5,lose_weight,chest,none,high,15,fat_loss_general
79,Female,166.3,67.5,keep_fit,arms,none,low,60,keep_fit_low_impact
17,Male,173.1,85.5,keep_fit,full,joints,high,60,kids_active_play_safe
14,Male,180.0,125.4,lose_weight,chest,joints,normal,20,kids_active_play_safe
15,Male,173.6,56.5,gain_mass,full,none,high,20,kids_active_play_safe
65,Female,159.9,66.1,lose_weight,arms,none,normal,30,fat_loss_general
38,Female,166.3,96.4,gain_mass,abs,none,low,60,muscle_low_impact
53,Female,179.2,78.6,gain_mass,legs,none,low,10,muscle_low_impact
80,Male,175.8,86.8,lose_weight,abs,none,normal,45,fat_loss_general
73,Male,183.4,92.5,keep_fit,arms,none,normal,15,keep_fit_balanced
74,Female,162.8,56.7,keep_fit,legs,none,normal,60,keep_fit_endurance
35,Female,163.6,68.5,lose_weight,full,none,normal,45,fat_loss_general
40,Male,175.0,96.4,keep_fit,full,none,normal,10,keep_fit_balanced
54,Male,179.5,61.3,gain_mass,abs,none,low,30,muscle_low_impact
56,Female,159.3,83.3,keep_fit,full,none,low,60,keep_fit_low_impact
44,Female,155.6,97.4,keep_fit,arms,none,high,30,keep_fit_endurance
21,Female,183.9,48.1,lose_weight,full,none,high,20,fat_loss_cardio_focus
35,Male,178.1,100.2,keep_fit,chest,none,low,30,keep_fit_low_impact
54,Female,177.2,99.1,keep_fit,abs,none,low,30,keep_fit_low_impact
70,Male,179.8,55.8,keep_fit,abs,none,high,10,keep_fit_endurance
47,Female,164.9,113.3,gain_mass,abs,none,high,60,muscle_gym_progressive
73,Male,181.3,90.3,gain_mass,arms,none,normal,20,muscle_home_basic
23,Male,169.4,90.9,keep_fit,full,joints,high,30,keep_fit_low_impact
52,Female,168.4,95.5,lose_weight,legs,none,normal,20,fat_loss_general
46,Female,160.5,85.6,gain_mass,arms,none,high,60,muscle_gym_progressive
64,Female,164.4,103.9,gain_mass,legs,none,high,30,muscle_gym_progressive
32,Female,163.1,98.4,keep_fit,abs,none,low,20,keep_fit_low_impact
20,Female,169.2,112.4,gain_mass,chest,none,low,30,muscle_low_impact
47,Female,172.8,72.1,keep_fit,full,none,high,45,keep_fit_endurance
29,Female,177.0,88.2,gain_mass,abs,none,high,60,muscle_gym_progressive
80,Male,191.0,135.2,gain_mass,full,none,high,15,muscle_gym_progressive
55,Male,194.9,95.8,keep_fit,chest,none,high,10,keep_fit_endurance
49,Female,171.3,87.7,gain_mass,legs,joints,low,60,muscle_low_impact
61,Female,179.6,110.1,lose_weight,full,none,low,60,fat_loss_low_impact
39,Female,184.3,51.9,gain_mass,legs,none,normal,15,muscle_home_basic
28,Male,188.1,90.3,gain_mass,abs,none,low,10,muscle_low_impact
37,Male,171.0,76.9,gain_mass,chest,none,high,10,muscle_gym_progressive
39,Female,166.9,48.1,keep_fit,full,none,low,45,keep_fit_low_impact
14,Female,175.5,77.5,gain_mass,chest,none,normal,20,kids_active_play_safe
43,Male,160.0,76.2,gain_mass,abs,joints,normal,15,muscle_low_impact
62,Male,176.4,68.7,keep_fit,arms,none,high,45,keep_fit_endurance
21,Male,179.9,112.8,lose_weight,abs,none,high,10,fat_loss_general
21,Female,153.7,100.0,gain_mass,arms,none,high,20,muscle_gym_progressive
28,Female,172.8,97.3,keep_fit,abs,none,high,60,keep_fit_endurance
29,Male,162.3,138.5,lose_weight,abs,none,low,15,fat_loss_low_impact
58,Female,180.5,78.3,lose_weight,full,none,low,45,fat_loss_low_impact
72,Female,163.2,93.4,keep_fit,full,none,high,60,keep_fit_endurance
61,Male,172.8,76.0,keep_fit,legs,none,low,45,keep_fit_low_impact
42,Female,156.5,78.3,gain_mass,arms,joints,high,15,muscle_low_impact
78,Male,196.3,88.7,gain_mass,legs,none,high,45,muscle_gym_progressive
71,Female,182.8,82.7,keep_fit,abs,none,low,60,keep_fit_low_impact
31,Male,184.0,54.8,keep_fit,chest,joints,high,10,keep_fit_low_impact
31,Male,184.5,129.1,lose_weight,arms,none,high,20,fat_loss_general
71,Female,151.6,64.0,gain_mass,chest,none,normal,10,muscle_home_basic
47,Male,173.5,78.8,keep_fit,chest,none,low,45,keep_fit_low_impact
34,Male,178.6,124.4,gain_mass,arms,none,high,15,muscle_gym_progressive
26,Male,186.2,51.2,lose_weight,full,none,high,15,fat_loss_cardio_focus
63,Female,151.0,83.8,keep_fit,arms,joints,normal,30,keep_fit_low_impact
24,Male,192.9,130.6,keep_fit,legs,none,low,20,keep_fit_low_impact
50,Female,166.7,56.1,gain_mass,arms,none,normal,30,muscle_home_basic
63,Male,187.9,64.5,keep_fit,legs,joints,normal,30,keep_fit_low_impact
53,Female,165.2,70.1,gain_mass,abs,joints,normal,30,muscle_low_impact
61,Male,173.2,57.5,gain_mass,full,none,normal,45,muscle_home_basic
70,Male,197.5,107.2,lose_weight,legs,none,normal,10,fat_loss_general
62,Male,168.4,61.4,keep_fit,abs,none,low,10,keep_fit_low_impact
37,Female,156.2,64.7,lose_weight,arms,joints,normal,45,fat_loss_low_impact
59,Male,175.4,60.3,lose_weight,chest,none,normal,30,fat_loss_general
36,Female,179.5,45.9,keep_fit,legs,joints,high,60,keep_fit_low_impact
15,Male,188.2,85.5,lose_weight,chest,joints,low,30,kids_active_play_safe
41,Male,182.7,109.2,gain_mass,full,none,high,60,muscle_gym_progressive
42,Male,173.7,70.1,lose_weight,chest,none,high,45,fat_loss_general
28,Female,164.5,113.4,keep_fit,abs,none,normal,30,keep_fit_balanced
35,Male,164.2,133.2,keep_fit,abs,joints,low,60,keep_fit_low_impact
16,Male,167.2,132.6,gain_mass,legs,none,high,45,kids_active_play_safe
64,Male,178.5,121.3,lose_weight,arms,none,normal,60,fat_loss_general
34,Male,187.2,128.8,keep_fit,abs,none,low,10,keep_fit_low_impact
45,Male,167.9,93.5,gain_mass,full,joints,low,10,muscle_low_impact
14,Male,160.1,119.2,lose_weight,chest,joints,normal,20,kids_active_play_safe
70,Female,159.1,48.5,keep_fit,arms,none,low,20,keep_fit_low_impact
14,Female,174.3,112.4,gain_mass,legs,none,high,60,kids_active_play_safe
23,Female,182.7,102.9,lose_weight,abs,none,normal,15,fat_loss_general
40,Female,181.7,73.3,keep_fit,legs,none,normal,30,keep_fit_balanced
73,Male,168.3,127.1,keep_fit,chest,joints,high,20,keep_fit_low_impact
15,Male,179.5,131.0,keep_fit,arms,none,low,20,kids_active_play_safe
57,Female,177.9,97.3,gain_mass,legs,none,low,15,muscle_low_impact
40,Female,177.2,92.1,lose_weight,arms,none,low,20,fat_loss_low_impact
24,Male,176.2,90.4,gain_mass,arms,joints,high,60,muscle_low_impact
26,Female,175.6,91.9,gain_mass,full,none,normal,15,muscle_home_basic
63,Male,179.9,101.7,lose_weight,abs,none,normal,45,fat_loss_general
35,Female,181.7,118.3,lose_weight,chest,none,high,60,fat_loss_general
51,Female,154.1,53.4,lose_weight,legs,none,normal,15,fat_loss_general
63,Female,177.5,59.3,keep_fit,abs,none,high,30,keep_fit_endurance
50,Male,166.3,109.7,lose_weight,legs,joints,low,30,fat_loss_low_impact
61,Female,157.8,64.4,keep_fit,abs,none,low,30,keep_fit_low_impact
52,Male,190.4,89.3,keep_fit,chest,joints,low,15,keep_fit_low_impact
31,Male,194.6,73.5,gain_mass,full,joints,high,45,muscle_low_impact
20,Female,152.6,85.1,keep_fit,legs,none,normal,45,keep_fit_endurance
64,Female,167.7,77.4,gain_mass,chest,joints,normal,45,muscle_low_impact
70,Male,161.5,122.7,keep_fit,full,none,low,60,keep_fit_low_impact
67,Female,182.5,59.8,keep_fit,abs,none,high,30,keep_fit_endurance
77,Male,199.1,131.0,keep_fit,abs,none,high,30,keep_fit_endurance
51,Male,197.4,80.5,lose_weight,legs,none,low,10,fat_loss_low_impact
59,Male,190.8,60.5,keep_fit,arms,none,normal,10,keep_fit_balanced
29,Female,164.6,86.0,lose_weight,arms,none,high,60,fat_loss_general
17,Male,162.1,75.7,lose_weight,arms,none,low,20,kids_active_play_safe
68,Female,171.6,102.7,gain_mass,chest,none,high,60,muscle_gym_progressive
68,Male,169.8,52.5,keep_fit,legs,joints,low,15,keep_fit_low_impact
18,Female,170.4,109.8,keep_fit,chest,joints,high,20,keep_fit_low_impact
42,Male,172.2,80.4,keep_fit,abs,none,high,10,keep_fit_endurance
57,Male,181.4,62.5,gain_mass,legs,joints,low,30,muscle_low_impact
21,Female,183.0,116.3,gain_mass,legs,none,normal,20,muscle_home_basic
37,Male,177.7,127.7,gain_mass,full,none,normal,15,muscle_home_basic
64,Male,165.5,75.4,gain_mass,full,none,high,45,muscle_gym_progressive
47,Male,160.8,93.9,lose_weight,chest,none,high,45,fat_loss_general
21,Male,175.8,126.1,lose_weight,legs,none,high,15,fat_loss_cardio_focus
48,Female,182.0,85.0,keep_fit,abs,none,low,30,keep_fit_low_impact
42,Female,182.8,99.4,gain_mass,chest,none,normal,60,muscle_home_basic
74,Male,192.6,54.9,lose_weight,arms,none,normal,20,fat_loss_general
68,Female,154.1,99.4,keep_fit,chest,none,low,45,keep_fit_low_impact
36,Male,170.5,110.2,gain_mass,legs,joints,low,60,muscle_low_impact
73,Female,177.0,118.6,lose_weight,legs,none,high,60,fat_loss_cardio_focus
70,Male,167.7,86.7,lose_weight,chest,none,low,20,fat_loss_low_impact
22,Male,191.4,122.4,lose_weight,arms,none,normal,10,fat_loss_general
51,Male,199.3,54.8,gain_mass,full,joints,high,60,muscle_low_impact
28,Male,197.7,100.3,keep_fit,chest,none,normal,30,keep_fit_balanced
31,Female,150.8,89.2,keep_fit,chest,none,high,30,keep_fit_endurance
26,Male,168.5,58.8,lose_weight,arms,none,normal,30,fat_loss_general
79,Female,170.1,89.9,lose_weight,arms,none,high,20,fat_loss_general
39,Female,179.4,45.3,gain_mass,legs,none,low,10,muscle_low_impact
68,Male,184.9,125.5,lose_weight,arms,joints,low,30,fat_loss_low_impact
59,Male,165.5,56.2,lose_weight,full,joints,low,15,fat_loss_low_impact
62,Male,161.5,98.7,keep_fit,arms,none,normal,30,keep_fit_balanced
65,Female,159.1,56.7,keep_fit,abs,none,low,15,keep_fit_low_impact
27,Male,189.1,130.2,keep_fit,legs,none,high,20,keep_fit_endurance
27,Male,164.0,105.0,gain_mass,legs,none,high,10,muscle_gym_progressive
71,Female,179.9,63.7,keep_fit,full,none,low,15,keep_fit_low_impact
36,Male,178.1,126.8,keep_fit,arms,joints,high,30,keep_fit_low_impact
66,Male,181.7,110.5,lose_weight,legs,none,low,20,fat_loss_low_impact
39,Male,188.2,105.1,gain_mass,chest,none,normal,10,muscle_home_basic
